accessories,Competition,Global Monthly Searches,Local Monthly Searches (United States),0.1
nurseries,0.03,450000,135000,1.89
nutritionists,0.06,301000,165000,1.89
nyonya restaurant,0.1,5400,1900,1.89
obstetricians and gynecologists,0.11,49500,22200,1.9
occupational therapy,0.21,6600,1300,1.9
office cleaning,0.13,135000,49500,1.91
office equipment,0.65,18100,4400,1.91
officiants,0.06,5000000,2240000,1.92
oil change stations,0.16,165000,74000,1.92
oncologist,0.25,550000,368000,1.92
open sandwiches,0.08,550000,135000,1.92
opera,0.94,1500000,823000,1.92
ophthalmologists,0.48,45500000,24900000,1.93
optometrists,0.04,165000,74000,1.93
oral surgeons,0.02,165000,9900,1.94
organic stores,1,2240000,1500000,1.94
oriental restaurant,0.7,1900,1000,1.95
orthodontists,0.17,550000,49500,1.96
orthopedists,0.08,49500,22200,1.96
osteopathic physicians,0.6,30400000,13600000,1.96
osteopaths,0.37,110000,49500,1.98
outdoor gear,0.1,1500000,673000,1.98
outlet stores,0.12,673000,135000,1.99
paddleboarding,0.07,6600,2400,1.99
paella,0.07,14800,5400,2
paintball,0.1,18100,1900,2
painters,0.27,37200000,9140000,2
pakistani restaurant,0.66,16600000,9140000,2.02
palatine restaurant,0.26,7480000,3350000,2.02
parent cafes,0.59,301000,201000,2.02
parking,0.65,673000,301000,2.02
parks,1,90500,49500,2.05
parma restaurant,0.31,3350000,1500000,2.07
party and event planning,0.22,83100000,45500000,2.08
party bus rentals,0.4,1830000,673000,2.1
party equipment rentals,0.1,18100,2400,2.1
party supplies,0.07,3600,1600,2.11
patisserie,0.2,2240000,1220000,2.11
pawn shops,0.09,823000,246000,2.13
pediatric dentists,0.12,9140000,5000000,2.13
pediatricians,0.15,201000,40500,2.13
performing arts,0.22,22200,18100,2.14
perfume,1,4090000,2240000,2.16
periodontists,0.21,1000000,673000,2.16
permanent makeup,0.08,1000,480,2.19
persian/iranian restaurant,0.11,18100,590,2.19
personal assistants,0.09,110000,27100,2.2
personal chefs,1,1000000,550000,2.21
personal injury law,0.09,450000,165000,2.21
personal shopping,0.09,301000,201000,2.22
peruvian restaurant,0.27,30400000,11100000,2.23
pest control,0.08,110000,12100,2.23
pet boarding,0.18,550000,301000,2.23
pet groomers,0.16,1220000,823000,2.24
pet services,0.05,246000,40500,2.26
pet sitting,0.2,9900,4400,2.26
pet stores,0.08,49500,33100,2.26
pet training,0.16,1220000,165000,2.26
pets,0.02,49500,40500,2.26
pharmacy,0.11,8100,2900,2.28
photographers,0.51,673000,301000,2.29
photography services,0.11,1000000,368000,2.3
photography stores,0.13,2740000,823000,2.3
physical therapy,0.47,6120000,2740000,2.31
piano bars,0.13,1220000,246000,2.31
piercing,0.12,33100,9900,2.33
pierogis,0.05,1600,320,2.33
pilates,0.18,11100000,2740000,2.34
pita,0.08,550000,201000,2.35
pizza,0.52,14800,8100,2.35
playgrounds,0.12,165000,90500,2.36
plumbing,0.05,550000,246000,2.37
plus size fashion,0.1,27100,390,2.38
podiatrists,0.51,2240000,1220000,2.38
police departments,0.32,823000,246000,2.38
polish restaurant,0.31,7480000,2240000,2.38
pool cleaners,0.85,450000,301000,2.39
pool halls,0.11,14800,1900,2.39
pop-up shops,0.04,90500,74000,2.4
portuguese restaurant,0.19,550000,368000,2.41
post offices,0.07,40500,8100,2.41
potatoes,0.17,49500,27100,2.42
poutineries,0.1,3600,880,2.44
preschools,1,4090000,2740000,2.45
